Program,School,Address,Instructor,WeekDay,Time
Little Warriors,Primrose Of Prestonwood,"15237 Montfort Dr, Dallas, TX 75248",Mr. C,Monday,9:15 AM
Little Warriors,Primrose of Park Cities,"4011 Inwood Rd, Dallas, TX 75209",Mr. C,Monday,10:20 AM
Little Warriors,Primrose of Klyde Warren Park,"1909 Woodall Rodgers Fwy Suite 100, Dallas, TX 75201",Mr. C,Monday,11:20 AM
Little Warriors,Primrose of Frisco West,"333 West Lebanon, Frisco, TX 75036",Mr. C,Monday,2:30 PM
Little Warriors,Primrose of Lakehil,"5349 Lakehill Blvd, Frisco, TX 75034",Mr. C,Monday,3:30 PM
Little Warriors,Primrose of North Lewisville,"1480 N Valley Pkwy, Lewisville, TX 75077",Mr. C,Tuesday,9:00 AM
Little Warriors,Primrose of Frisco at Main & Teel ,"9166 Teel Pkwy, Frisco, TX 75034",Mr. C,Tuesday,10:00 AM
Little Warriors,Primrose of Griffin Parc,"4625 Eldorado Pkwy, Frisco, TX 75034",Mr. C,Tuesday,11:00 AM
Little Warriors,Primrose of West Plano,"6480 W Plano Pkwy, Plano, TX 75093",Mr. C,Tuesday,2:30 PM
Little Warriors,Primrose of Plano at Headquarters,"6788 Headquarters Dr, Plano, TX 75024",Mr. C,Tuesday,3:30 PM
Little Warriors,Children's Development Academy (CDA) CFB-ISD,"2325 Heads Ln, Carrollton, TX 75006",Mr. C,Wednesday,8:45 AM
Little Warriors,Primrose of Whiterock,"718 N Buckner Blvd #200, Dallas, TX 75218",Mr. C,Wednesday,10:15 AM
Little Warriors,Primrose of Forney at Gateway,"1451 Whaley Dr, Forney, TX 75126",Mr. C,Wednesday,11:30 AM
Little Warriors,Open Time slot available,-,-,Wednesday,2:30 PM
Little Warriors,Primrose of Breckinridge Park,"4301 E Renner Rd, Richardson, TX 75082",Mr. C,Wednesday,3:30 PM
Little Warriors,Primrose of Wylie,"1615 W Brown St, Wylie, TX 75098",Mr. C,Thursday,9:00 AM
Little Warriors,Primrose of Frisco at Independence,"14477 Lebanon Rd, Frisco, TX 75035",Mr. C,Thursday,10:30 AM
Little Warriors,First Methodist Carrollton,"2201 E Hebron Pkwy, Carrollton, TX 75010",Mr. C,Thursday,11:40 AM
Little Warriors,Primrose of Wellington,"3708 Flower Mound Rd, Flower Mound, TX 75022",Mr. C,Thursday,2:30 PM
Little Warriors,Primrose of Coppell,"275 Parkway Blvd, Coppell, TX 75019",Mr. C,Thursday,3:30 PM
Little Warriors,Primrose of Bent Trail,"18601 Preston Rd, Dallas, TX 75252",Mr. C,Friday,9:15 AM
Little Warriors,Primrose of Plano at Preston Meadow,"5801 Coit Rd, Plano, TX 75093",Mr. C,Friday,10:15 AM
Little Warriors,Windhaven Academy,"5900 Communications PKWY Plano, TX 75093",Mr. C,Friday,11:00 AM
Little Warriors,Primrose of Plano at Deerfield,"4100 Hedgcoxe Rd, Plano, TX 75024",Mr. C,Friday,11:30 AM
Little Warriors,Open Time Slot Available,-,-,Friday,3:30 PM
Little Pom Poms,Primrose of Prestonwood,"15237 Montfort Dr, Dallas, TX 75248",Coach LC,Monday,9:15 AM
Little Pom Poms,Primrose of Park Cities,"4011 Inwood Rd, Dallas, TX 75209",Coach LC,Monday,10:20 AM
Little Pom Poms,Primrose of Klyde Warren Park,"1909 Woodall Rodgers Fwy Suite 100, Dallas, TX 75201",Coach LC,Monday,11:20 AM
Little Pom Poms,Primrose of Frisco West,"333 West Lebanon, Frisco, TX 75036",Coach LC,Monday,2:30 PM
Little Pom Poms,Primrose of North Lewisville,"1480 N Valley Pkwy, Lewisville, TX 75077",Coach LC,Tuesday,9:00 AM
Little Pom Poms,Primrose of Frisco at Main & Teel ,"9166 Teel Pkwy, Frisco, TX 75034",Coach LC,Tuesday,10:00 AM
Little Pom Poms,Primrose of Griffin Parc​,"4625 Eldorado Pkwy, Frisco, TX 75034",Coach LC,Tuesday,11:00 AM
Little Pom Poms,Primrose of Plano at Headquarters,"6788 Headquarters Dr, Plano, TX 75024",Coach LC,Tuesday,2:30 PM
Little Pom Poms,Children's Development Academy (CDA) CFB-ISD,"2325 Heads Ln, Carrollton, TX 75006",Coach LC,Wednesday,8:45 AM
Little Pom Poms,Primrose of Whiterock,"718 N Buckner Blvd #200, Dallas, TX 75218",Coach LC,Wednesday,10:15 AM
Little Pom Poms,Primrose of Forney at Gateway,"1451 Whaley Dr, Forney, TX 75126",Coach LC,Wednesday,11:30 AM
Little Pom Poms,Primrose of Bent Trail,"18601 Preston Rd, Dallas, TX 75252",Coach LC,Thursday,10:30 AM
Little Pom Poms,First Methodist Carrollton,"​2201 E Hebron Pkwy, Carrollton, TX 75010",Coach LC,Thursday,11:40 AM
Little All Stars,First Methodist Carrollton,"2201 E Hebron Pkwy, Carrollton, TX 75010",Coach Benji,Tuesday,9:15 AM
Little All Stars,Cadence Academy - Frisco,"10749 N County Rd, Frisco, TX 75034",Coach Benji,Wednesday,9:30 AM
Little All Stars,La Petite Academy - Carrollton,"1835 E Frankford Rd, Carrollton, TX 75007",Coach Benji,Thursday,(2-5) 9:30:00 AM
Little All Stars,La Petite Academy - Carrollton,"1835 E Frankford Rd, Carrollton, TX 75007",Coach Benji,Thursday,(6 & up) 3:30 PM
